source,company_name,filing_type,date,link,summary,relationship_type
SEC_FORM_D,DEFA14A - DIAMOND HILL INVESTMENT GROUP INC (0000909108) (Filer),Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/909108/000095010326001113/0000950103-26-001113-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0000950103-26-001113 <b>Size:</b> 64 KB
",investment
SEC_FORM_D,DEF 14A - LQR House Inc. (0001843165) (Filer),Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/1843165/000121390026008948/0001213900-26-008948-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0001213900-26-008948 <b>Size:</b> 7 MB
",investment
SEC_FORM_D,D/A - WHCO INVESTMENTS (CAYMAN) PARENT II LP (0002052074) (Filer),Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/2052074/000095014226000255/0000950142-26-000255-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0000950142-26-000255 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
SEC_FORM_D,D/A - WHCO INVESTMENTS 1-B PARENT LP (0001996439) (Filer),Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/1996439/000095014226000254/0000950142-26-000254-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0000950142-26-000254 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
SEC_FORM_D,DEFA14A - VEECO INSTRUMENTS INC (0000103145) (Filer),Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/103145/000110465926007499/0001104659-26-007499-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0001104659-26-007499 <b>Size:</b> 146 KB
",investment
SEC_FORM_D,"Ben's Shirley, Inc.",Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/2095465/000209546526000001/0002095465-26-000001-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0002095465-26-000001 <b>Size:</b> 9 KB
",investment
SEC_FORM_D,D/A - WHCO INVESTMENTS (DE) PARENT LP (0001996530) (Filer),Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/1996530/000095014226000253/0000950142-26-000253-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0000950142-26-000253 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
SEC_FORM_D,"D/A - Two Sigma Titan Fund, LP (0002067545) (Filer)",Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/2067545/000206754526000001/0002067545-26-000001-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0002067545-26-000001 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
SEC_FORM_D,"SCP Northfield Investor Feeder, L.P.",Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/2107078/000210215826000001/0002102158-26-000001-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0002102158-26-000001 <b>Size:</b> 10 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
SEC_FORM_D,"SCP Northfield Investor, L.P.",Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/2102158/000210215826000001/0002102158-26-000001-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0002102158-26-000001 <b>Size:</b> 10 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
SEC_FORM_D,"Venice Investments Burst V, a series of Platform Funds 2026, LP",Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/2108048/000210804826000001/0002108048-26-000001-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0002108048-26-000001 <b>Size:</b> 7 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.1: Section 3(c)(1)
",investment
SEC_FORM_D,D/A - WHCO INVESTMENTS (CAYMAN) PARENT LP (0001996426) (Filer),Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/1996426/000095014226000252/0000950142-26-000252-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0000950142-26-000252 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
SEC_FORM_D,"Dragoneer Core Investments, LP",Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/2107311/000210731126000002/0002107311-26-000002-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0002107311-26-000002 <b>Size:</b> 7 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
SEC_FORM_D,"D/A - Cresset High Yield Municipal Fund, LLC (0001708627) (Filer)",Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/1708627/000170862726000001/0001708627-26-000001-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0001708627-26-000001 <b>Size:</b> 9 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
SEC_FORM_D,"D/A - Two Sigma Spectrum U.S. Fund, LP (0001334130) (Filer)",Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/1334130/000133413026000001/0001334130-26-000001-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0001334130-26-000001 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
SEC_FORM_D,DEFM14A - Tamboran Resources Corp (0001997652) (Filer),Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/1997652/000119312526027433/0001193125-26-027433-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0001193125-26-027433 <b>Size:</b> 3 MB
",investment
SEC_FORM_D,LCV 2025 06 LLC,Form D,2026-01-28,https://www.sec.gov/Archives/edgar/data/2107567/000147083126000058/0001470831-26-000058-index.htm,"
 <b>Filed:</b> 2026-01-28 <b>AccNo:</b> 0001470831-26-000058 <b>Size:</b> 6 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7: Section 3(c)(7)
",investment
