source,investor_name,manager_name,cik,filing_type,filing_date,date,link,source_url,issuer_name,cusip,value,shares,put_call,investment_discretion,other_manager,voting_auth_sole,voting_auth_shared,voting_auth_none,node_type,relationship_type
SEC_13F,"HR - Aspen Wealth Strategies, LLC",,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1972517/000195175726000325/0001951757-26-000325-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - REDW Wealth LLC,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1688931/000168893126000003/0001688931-26-000003-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,"HR - Spectrum Investment Advisors, Inc.",,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1856042/000089271226000048/0000892712-26-000048-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,"HR - Briaud Financial Planning, Inc",,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1800586/000195175726000324/0001951757-26-000324-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,"HR - WPG Advisers, LLC",,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/2067343/000206734326000001/0002067343-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - CORA CAPITAL ADVISORS LLC,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1964530/000195175726000323/0001951757-26-000323-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - Field & Main Bank,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1594492/000159449226000001/0001594492-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - CITIZENS & NORTHERN CORP,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/810958/000110465926007427/0001104659-26-007427-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - LIBRA WEALTH LLC,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1925385/000195175726000322/0001951757-26-000322-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - MEMBERS WEALTH LLC,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/2059574/000195175726000321/0001951757-26-000321-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - AXIS CAPITAL HOLDINGS LTD,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1214816/000121481626000068/0001214816-26-000068-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - Gold Investment Management Ltd.,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/2006008/000200600826000001/0002006008-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,"HR - Mowery & Schoenfeld Wealth Management, LLC",,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/2019946/000201994626000001/0002019946-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - CADINHA & CO LLC,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/923469/000092346926000001/0000923469-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,"HR - AGP FRANKLIN, LLC",,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/2056566/000195175726000320/0001951757-26-000320-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - Chicago Partners Investment Group LLC,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1563525/000156352526000001/0001563525-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,"HR - Quent Long Short Global Small Cap Fund, LP",,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1805114/000180511426000001/0001805114-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - N.E.W. Advisory Services LLC,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1803456/000180345626000001/0001803456-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,"HR - LifeSteps Financial, Inc.",,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1801373/000180137326000001/0001801373-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - CAPE ANN SAVINGS BANK,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/936938/000093693826000001/0000936938-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,HR - Geneos Wealth Management Inc.,,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1764754/000176475426000001/0001764754-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
SEC_13F,"NT - GUGGENHEIM FUNDS INVESTMENT ADVISORS, LLC",,,13F-HR,,2026-01-28,https://www.sec.gov/Archives/edgar/data/1280782/000128078226000001/0001280782-26-000001-index.htm,,,,,,,,,,,,investor,institutional_holdings
